call_sign,channel,virtual_channel,service_type,status,atsc3,city,state,country,facility_id,erp_kw,directional,haat_m,latitude,longitude,licensee
KBRO-LD,3,,LPD,Application,False,DENVER,CO,US,18475,3.0,False,1758.4,39.675333,-104.873361,18475           3. kW           - m  1758.4 m    68. m   N 39 40 31.20  W 104 52 24.10  1201368   ECHONET CORPORATION
WHBF-TV,4,4,DTV,Licensed,False,ROCK ISLAND,IL,US,13950,33.7,False,405.4,41.546889,-90.477167,13950         33.7 kW       405.4 m   609.7 m  406.7 m   N 41 32 48.80  W  90 28 37.80  1035417   NEXSTAR MEDIA INC.
KBKF-LD,6,,LPD,Application,False,SAN JOSE,CA,US,127882,3.0,True,1184.1,37.110806,-121.844667,"127882          3. kW DA        - m  1184.1 m   37.7 m   N 37 06 38.90  W 121 50 40.80  1056768   VENTURE TECHNOLOGIES GROUP, LLC"
KMCF-LD,6,,LPD,Licensed,False,VISALIA,CA,US,20560,3.0,True,1040.6,36.745889,-119.284,"20560           3. kW DA        - m  1040.6 m   18.6 m   N 36 44 45.20  W 119 17 02.40            COCOLA BROADCASTING COMPANIES, LLC"
KXDP-LD,6,,LPD,STA,False,DENVER,CO,US,67552,3.0,True,2536.0,39.913306,-105.293028,"67552           3. kW DA        - m   2536. m     6. m   N 39 54 47.90  W 105 17 34.90            SYNCOM MEDIA GROUP, INC."
WEYS-LD,6,31,LPD,CP,False,MIAMI,FL,US,6035,3.0,True,246.5,25.971111,-80.208611,"6035            3. kW DA        - m   246.5 m   245. m   N 25 58 16.00  W  80 12 31.00  1027529   ALMA VISION HISPANIC NETWORK, INC."
WTBS-LD,6,,LPD,CP,False,ATLANTA,GA,US,53584,3.0,True,428.1,34.041417,-84.226806,"53584           3. kW DA        - m   428.1 m    80. m   N 34 02 29.10  W  84 13 36.50  1240775   PRISM BROADCASTING NETWORK, INC."
WRME-LD,6,,LPD,Licensed,False,CHICAGO,IL,US,128239,3.0,True,564.0,41.898917,-87.623111,"128239          3. kW DA        - m    564. m  383.3 m   N 41 53 56.10  W  87 37 23.20  1009013   WLFM, LLC"
WPGF-LD,6,,LPD,Amendment,False,MEMPHIS,TN,US,23848,3.0,False,331.4,35.209528,-89.817056,23848           3. kW           - m   331.4 m   247. m   N 35 12 34.30  W  89 49 01.40  1249321   GEORGE FLINN
WDCN-LD,6,,LPD,Amendment,False,FAIRFAX,VA,US,20450,0.7,True,280.0,38.8745,-77.223222,20450          0.7 kW DA        - m    280. m  169.7 m   N 38 52 28.20  W  77 13 23.60  1017638   SIGNAL ABOVE LLC
WMTO-LD,6,,LPD,STA,False,NORFOLK,VA,US,127802,3.0,False,220.0,36.812222,-76.462222,"127802          3. kW           - m    220. m  213.3 m   N 36 48 44.00  W  76 27 44.00  1018292   SYNCOM MEDIA GROUP,INC."
KRON-TV,7,4,DTV,Licensed,False,SAN FRANCISCO,CA,US,65526,50.0,True,507.2,37.755278,-122.452778,65526          50. kW DA    507.2 m   531.6 m  277.4 m   N 37 45 19.00  W 122 27 10.00  1001289   NEXSTAR MEDIA INC.
KMGH-TV,7,7,DTV,STA,False,DENVER,CO,US,40875,40.5,True,359.0,39.730722,-105.232111,40875         40.5 kW DA     359. m  2367.8 m   199. m   N 39 43 50.60  W 105 13 55.60  1058328   SCRIPPS BROADCASTING HOLDINGS LLC
WLHY-LD,7,,LPD,CP,False,UNKNOWN,PA,US,187456,3.0,True,536.0,40.2625,-76.463889,"187456          3. kW DA        - m    536. m  268.4 m   N 40 15 45.00  W  76 27 50.00  1036777   ZEBRA MEDIA, LLC"
KTBC,7,7,DTV,Licensed,False,AUSTIN,TX,US,35649,98.6,True,383.0,30.31,-97.793056,"35649         98.6 kW DA     383. m   599.2 m  318.8 m   N 30 18 36.00  W  97 47 35.00  1043248   NW COMMUNICATIONS OF AUSTIN, INC."
WBNA,8,21,DTV,Licensed,False,LOUISVILLE,KY,US,73692,95.0,True,200.0,38.033056,-85.754722,"73692          95. kW DA     200. m   368.5 m   117. m   N 38 01 59.00  W  85 45 17.00  1044969   WORD BROADCASTING NETWORK, INC."
WWMT,8,3,DTV,Licensed,False,KALAMAZOO,MI,US,74195,25.0,False,317.0,42.632222,-85.537778,"74195          25. kW        317. m   564.6 m   330. m   N 42 37 56.00  W  85 32 16.00  1000688   WWMT LICENSEE, LLC"
KCWX,8,2,DTV,STA,False,FREDERICKSBURG,TX,US,24316,35.0,True,374.3,30.137139,-98.610028,"24316          35. kW DA    374.3 m   877.7 m  298.7 m   N 30 08 13.70  W  98 36 36.10  1209887   CORRIDOR TELEVISION, L.L.P."
KCWX,8,2,DTS,Licensed,False,FREDERICKSBURG,TX,US,24316,3.0,True,166.2,30.3225,-97.801111,"24316           3. kW DA    166.2 m   389.8 m   152. m   N 30 19 21.00  W  97 48 04.00  1063584   CORRIDOR TELEVISION, L.L.P."
WUPV,8,65,DTV,Licensed,False,ASHLAND,VA,US,10897,30.0,True,257.0,37.742222,-77.253889,"10897          30. kW DA     257. m   294.5 m  265.5 m   N 37 44 32.00  W  77 15 14.00  1035293   GRAY TELEVISION LICENSEE, LLC"
WSVN,9,7,DTV,Licensed,False,MIAMI,FL,US,63840,158.0,True,307.1,25.966944,-80.211667,63840         158. kW DA    307.1 m   309.1 m   307. m   N 25 58 01.00  W  80 12 42.00  1262187   SUNBEAM TELEVISION CORPORATION
KHDT-LD,10,,LPD,Licensed,False,DENVER,CO,US,67543,3.0,False,2256.0,39.729417,-105.236083,"67543           3. kW           - m   2256. m    13. m   N 39 43 45.90  W 105 14 09.90            SYNCOM MEDIA GROUP, INC."
WPLG,10,10,DTV,Licensed,False,MIAMI,FL,US,53113,156.0,True,309.0,25.966944,-80.211667,"53113         156. kW DA     309. m    311. m  308.9 m   N 25 58 01.00  W  80 12 42.00  1262187   WPLG, INC."
KTTV,11,11,DTV,Licensed,False,LOS ANGELES,CA,US,22208,115.0,True,903.0,34.224722,-118.064167,"22208         115. kW DA     903. m  1782.9 m   54.9 m   N 34 13 29.00  W 118 03 51.00  1055307   FOX TELEVISION STATIONS, LLC"
WESH,11,2,DTV,Licensed,False,DAYTONA BEACH,FL,US,25738,64.6,True,512.4,28.61,-81.059444,25738         64.6 kW DA    512.4 m    522. m   506. m   N 28 36 36.00  W  81 03 34.00  1063249   HEARST PROPERTIES INC.
WCIX,11,49,DTV,Licensed,False,SPRINGFIELD,IL,US,42116,8.5,False,175.5,39.790944,-89.514722,42116          8.5 kW       175.5 m    349. m  178.3 m   N 39 47 27.40  W  89 30 53.00  1016051   NEXSTAR MEDIA INC.
W26ET-D,11,,LPD,Application,False,CHATTANOOGA,TN,US,72218,3.0,True,291.1,35.918583,-86.253361,"72218           3. kW DA        - m   291.1 m   100. m   N 35 55 06.90  W  86 15 12.10  1224416   EDGE SPECTRUM, INC."
K36LD-D,11,,LPD,Application,False,COLLEGE STATION,TX,US,184141,3.0,True,265.9,30.218667,-97.400583,"184141          3. kW DA        - m   265.9 m   140. m   N 30 13 07.20  W  97 24 02.10  1237573   EDGE SPECTRUM, INC."
WBBM-TV,12,2,DTV,Licensed,False,CHICAGO,IL,US,9617,29.5,False,500.4,41.878889,-87.635556,9617          29.5 kW       500.4 m    680. m  498.6 m   N 41 52 44.00  W  87 38 08.00  1032960   CBS BROADCASTING INC.
KSCW-DT,12,33,DTV,Licensed,False,WICHITA,KS,US,72348,66.4,False,450.6,38.060444,-97.763806,"72348         66.4 kW       450.6 m   902.6 m  431.1 m   N 38 03 37.60  W  97 45 49.70  1046283   GRAY TELEVISION LICENSEE, LLC"
KPTV,12,12,DTV,CP,True,PORTLAND,OR,US,50633,46.0,False,543.0,45.521667,-122.749167,"50633          46. kW        543. m   615.7 m   313. m   N 45 31 18.00  W 122 44 57.00  1033163   GRAY TELEVISION LICENSEE, LLC"
WJNK-LD,12,,LPD,Application,False,NASHVILLE,TN,US,30257,3.0,True,400.7,36.268028,-86.79575,"30257           3. kW DA        - m   400.7 m   169. m   N 36 16 04.90  W  86 47 44.70  1233975   EDGE SPECTRUM, INC."
WLOS,13,13,DTV,Licensed,False,ASHEVILLE,NC,US,56537,144.0,True,552.0,35.222222,-82.549444,"56537         144. kW DA     552. m  1255.8 m  211.8 m   N 35 13 20.00  W  82 32 58.00  1023079   WLOS LICENSEE, LLC"
KTRK-TV,13,13,DTV,Licensed,False,HOUSTON,TX,US,35675,32.4,False,580.0,29.574306,-95.493806,"35675         32.4 kW        580. m   596.4 m  572.3 m   N 29 34 27.50  W  95 29 37.70  1040815   KTRK TELEVISION, INC."
KAKW-DT,13,62,DTV,STA,True,KILLEEN,TX,US,148,39.0,False,553.0,30.726194,-97.990389,"148            39. kW        553. m    892. m   546. m   N 30 43 34.30  W  97 59 25.40  1052705   KAKW LICENSE PARTNERSHIP, L.P."
WRDC,14,28,DTV,Licensed,False,DURHAM,NC,US,54963,1000.0,False,624.0,35.674722,-78.5275,"54963        1000. kW        624. m   704.1 m  594.4 m   N 35 40 29.00  W  78 31 39.00  1027322   RALEIGH (WRDC-TV) LICENSEE, INC."
WCMH-TV,14,4,DTV,STA,False,COLUMBUS,OH,US,50781,902.0,False,264.0,39.971111,-83.027778,50781         902. kW        264. m   506.2 m  286.7 m   N 39 58 16.00  W  83 01 40.00  1040501   NEXSTAR MEDIA INC.
KNXV-TV,15,15,DTV,Licensed,False,PHOENIX,AZ,US,59440,550.0,True,544.1,33.334222,-112.06125,59440         550. kW DA    544.1 m  902.01 m  101.01 m   N 33 20 03.20  W 112 03 40.50  1204586   SCRIPPS BROADCASTING HOLDINGS LLC
WTTK,15,29,DTV,Licensed,False,KOKOMO,IN,US,56526,450.0,False,304.0,39.888889,-86.201944,56526         450. kW        304. m   552.9 m   306. m   N 39 53 20.00  W  86 12 07.00  1030684   TRIBUNE MEDIA COMPANY
WXSP-CD,15,,DCA,Licensed,False,GRAND RAPIDS,MI,US,36851,15.0,False,343.0,43.016472,-85.740056,36851          15. kW           - m    343. m   105. m   N 43 00 59.30  W  85 44 24.20  1007106   NEXSTAR MEDIA INC.
WQCW,15,30,DTV,Licensed,False,PORTSMOUTH,OH,US,65130,1000.0,False,385.7,38.510083,-82.219306,"65130        1000. kW       385.7 m   612.1 m  303.9 m   N 38 30 36.30  W  82 13 09.50  1035121   GRAY TELEVISION LICENSEE, LLC"
KOXO-CD,15,,DCA,CP,False,PORTLAND,OR,US,71080,15.0,False,589.2,45.522361,-122.747083,"71080          15. kW           - m   589.2 m  246.9 m   N 45 31 20.50  W 122 44 49.50  1204059   TV-49, INC."
KVTX-LD,15,,LPD,Licensed,False,VICTORIA,TX,US,5842,15.0,True,351.3,28.845389,-97.126111,"5842           15. kW DA        - m   351.3 m   308. m   N 28 50 43.40  W  97 07 34.00  1238711   QUEENB TELEVISION OF TEXAS, LLC"
WCWF,15,14,DTV,Licensed,False,SURING,WI,US,73042,600.0,True,360.0,44.408889,-87.991944,"73042         600. kW DA     360. m   589.7 m   319. m   N 44 24 32.00  W  87 59 31.00  1064113   WCWF LICENSEE, LLC"
KDSM-TV,16,17,DTV,Licensed,False,DES MOINES,IA,US,56527,1000.0,True,612.0,41.83,-93.615167,"56527        1000. kW DA     612. m   902.9 m   599. m   N 41 49 48.00  W  93 36 54.60  1061304   KDSM LICENSEE, LLC"
WRSP-TV,16,55,DTV,Licensed,False,SPRINGFIELD,IL,US,62009,310.0,False,436.0,39.804167,-89.461111,"62009         310. kW        436. m    612. m  432.2 m   N 39 48 15.00  W  89 27 40.00  1008823   GOCOM MEDIA OF ILLINOIS, LLC"
WBKI,16,58,DTV,Licensed,False,SALEM,IN,US,34167,860.0,False,390.4,38.350278,-85.849167,34167         860. kW       390.4 m   590.1 m   296. m   N 38 21 01.00  W  85 50 57.00  1307446   INDEPENDENCE TELEVISION COMPANY
KSHV-TV,16,45,DTV,Licensed,False,SHREVEPORT,LA,US,73706,301.0,True,504.9,32.66625,-93.933528,73706         301. kW DA    504.9 m   568.5 m  487.7 m   N 32 39 58.50  W  93 56 00.70  1022487   NEXSTAR MEDIA INC.
WNYO-TV,16,49,DTV,Licensed,False,BUFFALO,NY,US,67784,575.0,True,329.0,43.025611,-78.928361,"67784         575. kW DA     329. m    508. m  328.5 m   N 43 01 32.20  W  78 55 42.10  1019110   NEW YORK TELEVISION, INC."
KPHO-TV,17,5,DTV,Licensed,False,PHOENIX,AZ,US,41223,1000.0,True,507.0,33.333889,-112.061944,"41223        1000. kW DA     507. m    875. m    83. m   N 33 20 02.00  W 112 03 43.00  1005664   GRAY TELEVISION LICENSEE, LLC"
W25FK-D,17,,LPD,Application,False,PANAMA CITY,FL,US,182839,15.0,True,138.1,30.358806,-84.610472,"182839         15. kW DA        - m   138.1 m   100. m   N 30 21 31.70  W  84 36 37.70  1219532   EDGE SPECTRUM, INC."
WFTS-TV,17,28,DTV,STA,False,TAMPA,FL,US,64588,500.0,True,469.0,27.8425,-82.262222,64588         500. kW DA     469. m    489. m  466.1 m   N 27 50 33.00  W  82 15 44.00  1028292   SCRIPPS BROADCASTING HOLDINGS LLC
WSB-TV,17,2,DRT,Licensed,False,ATLANTA,GA,US,,0.0,True,0.0,33.930917,-83.783139,23960            - kW DA        - m   540.1 m      - m   N 33 55 51.30  W  83 46 59.30            -
WUPL,17,54,DTV,Licensed,False,SLIDELL,LA,US,13938,850.0,True,295.8,29.906361,-90.039472,"13938         850. kW DA    295.8 m    296. m  295.7 m   N 29 54 22.90  W  90 02 22.10  1220144   BELO TV, INC."
KPNX,18,12,DTV,Licensed,False,MESA,AZ,US,35486,1000.0,True,535.1,33.333333,-112.064167,35486        1000. kW DA    535.1 m   892.7 m   84.1 m   N 33 20 00.00  W 112 03 51.00  1002073   MULTIMEDIA HOLDINGS CORPORATION
WMOR-TV,18,32,DTV,Licensed,False,LAKELAND,FL,US,53819,1000.0,False,459.0,27.819667,-82.260556,53819        1000. kW        459. m   479.2 m  456.3 m   N 27 49 10.80  W  82 15 38.00  1057473   HEARST PROPERTIES INC.
KCPT,18,19,DTV,Licensed,False,KANSAS CITY,MO,US,53843,1000.0,False,355.0,39.083056,-94.480556,"53843        1000. kW        355. m    619. m   367. m   N 39 04 59.00  W  94 28 50.00  1057465   PUBLIC TELEVISION 19, INC."
WSTR-TV,18,64,DTV,Licensed,False,CINCINNATI,OH,US,11204,325.0,False,337.0,39.200278,-84.522778,"11204         325. kW        337. m    557. m  284.2 m   N 39 12 01.00  W  84 31 22.00  1014132   WSTR ACQUISITION, LLC"
WLUK-TV,18,11,DTV,Licensed,False,GREEN BAY,WI,US,4150,500.0,False,384.0,44.408889,-87.991944,"4150          500. kW        384. m   614.7 m   344. m   N 44 24 32.00  W  87 59 31.00  1064113   WLUK LICENSEE, LLC"
KGRX-LD,19,,LPD,Licensed,False,GILA RIVER INDIAN CO,AZ,US,187703,15.0,True,832.7,33.332583,-112.065833,"187703         15. kW DA        - m   832.7 m    25. m   N 33 19 57.30  W 112 03 57.00            GILA RIVER TELECOMMUNICATIONS, INC."
WANF,19,46,DTV,Licensed,False,ATLANTA,GA,US,72120,1000.0,False,329.0,33.807333,-84.339306,"72120        1000. kW        329. m   615.3 m   351. m   N 33 48 26.40  W  84 20 21.50  1223132   GRAY TELEVISION LICENSEE, LLC"
WHBF-TV,19,4,DRT,STA,False,ROCK ISLAND,IL,US,,0.0,True,0.0,41.510192,-90.574292,13950            - kW DA        - m   194.6 m      - m   N 41 30 36.69  W  90 34 27.45            -
W19EZ-D,19,,LPD,Licensed,False,HOUGHTON LAKE,MI,US,184807,15.0,True,629.2,44.136667,-85.3425,"184807         15. kW DA        - m   629.2 m  109.7 m   N 44 08 12.00  W  85 20 33.00  1002422   VAL VISTA RV PARK, LLC"
WSTM-TV,19,3,DTV,Licensed,False,SYRACUSE,NY,US,21252,150.0,False,410.0,42.944944,-76.118389,"21252         150. kW        410. m   706.9 m   275. m   N 42 56 41.80  W  76 07 06.20  1233154   WSTQ LICENSEE, LLC"
KAUT-TV,19,43,DTV,Licensed,False,OKLAHOMA CITY,OK,US,50182,750.0,False,467.0,35.568611,-97.489167,50182         750. kW        467. m   819.8 m  470.2 m   N 35 34 07.00  W  97 29 21.00  1043710   NEXSTAR MEDIA INC.
KTXH,19,20,DTV,Licensed,False,HOUSTON,TX,US,51569,1000.0,True,578.0,29.574722,-95.493889,"51569        1000. kW DA     578. m   597.2 m  573.2 m   N 29 34 29.00  W  95 29 38.00  1028555   FOX TELEVISION STATIONS, LLC"
KJZZ-TV,19,14,DTV,Licensed,False,SALT LAKE CITY,UT,US,36607,312.0,True,1258.8,40.659167,-112.202778,"36607         312. kW DA   1258.8 m  2833.8 m   79.8 m   N 40 39 33.00  W 112 12 10.00  1062408   KJZZ LICENSEE, LLC"
WZBJ-CD,19,,DCA,CP,True,LYNCHBURG,VA,US,168095,15.0,False,920.2,37.315278,-79.634722,"168095         15. kW           - m   920.2 m  335.3 m   N 37 18 55.00  W  79 38 05.00  1016546   GRAY TELEVISION LICENSEE, LLC"
WSB-TV,20,2,DRT,Licensed,False,ATLANTA,GA,US,,0.0,True,0.0,34.125556,-83.858889,23960            - kW DA        - m   590.2 m      - m   N 34 07 32.00  W  83 51 32.00            -
KITV,20,4,DTV,Licensed,False,HONOLULU,HI,US,64548,66.8,True,57.4,21.2905,-157.839722,"64548         66.8 kW DA     57.4 m   131.3 m  129.8 m   N 21 17 25.80  W 157 50 23.00  1019034   KITV, INC."
WUNC-TV,20,4,DTV,Licensed,False,CHAPEL HILL,NC,US,69080,1000.0,True,461.9,35.866389,-79.166806,69080        1000. kW DA    461.9 m   611.7 m  385.5 m   N 35 51 59.00  W  79 10 00.50  1014574   UNIVERSITY OF NORTH CAROLINA
KNSN-TV,20,21,DTV,Licensed,False,RENO,NV,US,19191,100.0,True,176.0,39.584167,-119.798611,"19191         100. kW DA     176. m  1690.9 m    25. m   N 39 35 03.00  W 119 47 55.00  1011426   KNSN LICENSEE, LLC"
WTTO,21,21,DTV,Licensed,False,HOMEWOOD,AL,US,74138,1000.0,True,422.0,33.484667,-86.807,"74138        1000. kW DA     422. m   616.3 m  327.7 m   N 33 29 04.80  W  86 48 25.20  1226663   WTTO LICENSEE, LLC"
WPNT,21,22,DTV,Licensed,False,PITTSBURGH,PA,US,73907,721.0,True,312.0,40.495278,-80.004444,"73907         721. kW DA     312. m   620.7 m  218.7 m   N 40 29 43.00  W  80 00 16.00  1026131   WCWB LICENSEE, LLC"
WUXP-TV,21,30,DTV,Licensed,False,NASHVILLE,TN,US,9971,1000.0,True,413.0,36.263833,-86.794139,"9971         1000. kW DA     413. m   595.2 m   352. m   N 36 15 49.80  W  86 47 38.90  1224078   WUXP LICENSEE, LLC"
KATV,22,7,DTV,Licensed,False,LITTLE ROCK,AR,US,33543,1000.0,False,515.0,34.797389,-92.489111,"33543        1000. kW        515. m   638.5 m  359.6 m   N 34 47 50.60  W  92 29 20.80  1263739   KATV LICENSEE, LLC"
WFOR-TV,22,4,DTV,STA,False,MIAMI,FL,US,47902,323.0,True,243.7,25.968972,-80.222,47902         323. kW DA    243.7 m   245.2 m  243.7 m   N 25 58 08.30  W  80 13 19.20  1026553   CBS TELEVISION STATIONS INC.
KHII-TV,22,9,DTV,Licensed,False,HONOLULU,HI,US,36917,40.0,True,629.0,21.397778,-158.1,36917          40. kW DA     629. m   804.9 m    49. m   N 21 23 52.00  W 158 06 00.00  1007114   NEXSTAR MEDIA INC.
WCVN-TV,22,54,DTV,Licensed,False,COVINGTON,KY,US,34204,39.9,False,132.0,39.030833,-84.506389,34204         39.9 kW        132. m   348.7 m   96.2 m   N 39 01 51.00  W  84 30 23.00  1044039   KENTUCKY AUTHORITY FOR EDUCATIONAL TV
W22EL-D,22,,LPD,Licensed,False,VANDERBILT,MI,US,184927,15.0,True,601.7,45.17,-84.751111,"184927         15. kW DA        - m   601.7 m  134.1 m   N 45 10 12.00  W  84 45 04.00  1000438   VAL VISTA RV PARK, LLC"
WUCW,22,23,DTV,Licensed,False,MINNEAPOLIS,MN,US,36395,790.0,False,436.2,45.062222,-93.139444,"36395         790. kW       436.2 m   712.1 m  408.2 m   N 45 03 44.00  W  93 08 22.00  1023882   KLGT LICENSEE, LLC"
WCBS-TV,22,2,DRT,Licensed,False,NEW YORK,NY,US,,0.0,True,0.0,40.89725,-72.915167,9610             - kW DA        - m   196.5 m      - m   N 40 53 50.10  W  72 54 54.60            -
WCWN,22,45,DTV,Licensed,False,SCHENECTADY,NY,US,73264,750.0,False,426.0,42.625361,-74.010194,"73264         750. kW        426. m   681.8 m   139. m   N 42 37 31.30  W  74 00 36.70  1231728   WCWN LICENSEE, LLC"
KNAV-LD,22,,LPD,CP,False,DALLAS,TX,US,47898,15.0,True,512.9,32.589444,-96.97025,"47898          15. kW DA        - m   512.9 m   260. m   N 32 35 22.00  W  96 58 12.90  1055009   HC2 STATION GROUP, INC."
WSAZ-TV,22,3,DTV,Licensed,False,HUNTINGTON,WV,US,36912,800.0,False,385.7,38.510083,-82.219306,"36912         800. kW       385.7 m   612.1 m  303.9 m   N 38 30 36.30  W  82 13 09.50  1035121   GRAY TELEVISION LICENSEE, LLC"
KQCA,23,58,DTV,Licensed,False,STOCKTON,CA,US,10242,425.0,False,578.6,38.265,-121.491111,10242         425. kW       578.6 m    581. m   581. m   N 38 15 54.00  W 121 29 28.00  1015686   HEARST STATIONS INC.
KGMB,23,5,DTV,Licensed,False,HONOLULU,HI,US,34445,50.0,True,669.5,21.397778,-158.1,"34445          50. kW DA    669.5 m    805. m   49.1 m   N 21 23 52.00  W 158 06 00.00  1007114   GRAY TELEVISION LICENSEE, LLC"
KGLW-LD,23,,LPD,Licensed,False,TWIN FALLS,ID,US,130618,15.0,True,1324.9,42.728889,-114.416389,"130618         15. kW DA        - m  1324.9 m   22.9 m   N 42 43 44.00  W 114 24 59.00  1041029   VENTURA MEDIA COMMUNICATIONS, LLC"
